unit,theme,title,sentence_number,sentence_id,ca_sentence,es_sentence,en_sentence,fr_sentence,it_sentence,ma_sentence
1,Presentació i salutacions,Presentació i salutacions,1,ca_a1_01_001,"Hola, em dic Marc.",,,,,
1,Presentació i salutacions,Presentació i salutacions,2,ca_a1_01_002,"Bon dia, em dic Amina.",,,,,
1,Presentació i salutacions,Presentació i salutacions,3,ca_a1_01_003,"Sóc de Colòmbia.",,,,,
1,Presentació i salutacions,Presentació i salutacions,4,ca_a1_01_004,"Tinc tretze anys.",,,,,
1,Presentació i salutacions,Presentació i salutacions,5,ca_a1_01_005,"Visc a Tarragona.",,,,,
1,Presentació i salutacions,Presentació i salutacions,6,ca_a1_01_006,"Parlo una mica de català.",,,,,

2,Origen i llengües,Origen i llengües,1,ca_a1_02_001,"Sóc de Romania.",,,,,
2,Origen i llengües,Origen i llengües,2,ca_a1_02_002,"Ella és de Marroc.",,,,,
2,Origen i llengües,Origen i llengües,3,ca_a1_02_003,"Parlo àrab i una mica de castellà.",,,,,
2,Origen i llengües,Origen i llengües,4,ca_a1_02_004,"A casa parlem amazic.",,,,,
2,Origen i llengües,Origen i llengües,5,ca_a1_02_005,"Vull aprendre català.",,,,,
2,Origen i llengües,Origen i llengües,6,ca_a1_02_006,"A l'institut parlem en català.",,,,,

3,Aula i material escolar,Aula i material escolar,1,ca_a1_03_001,"Aquesta és la meva aula.",,,,,
3,Aula i material escolar,Aula i material escolar,2,ca_a1_03_002,"Tinc un quadern i un bolígraf.",,,,,
3,Aula i material escolar,Aula i material escolar,3,ca_a1_03_003,"On és la pissarra?",,,,,
3,Aula i material escolar,Aula i material escolar,4,ca_a1_03_004,"El professor entra a classe.",,,,,
3,Aula i material escolar,Aula i material escolar,5,ca_a1_03_005,"Posa el mòbil a la motxilla, si us plau.",,,,,
3,Aula i material escolar,Aula i material escolar,6,ca_a1_03_006,"Ara fem català.",,,,,

4,Família i amics,Família i amics,1,ca_a1_04_001,"Visc amb la meva família.",,,,,
4,Família i amics,Família i amics,2,ca_a1_04_002,"Tinc dos germans i una germana.",,,,,
4,Família i amics,Família i amics,3,ca_a1_04_003,"El meu pare treballa en un restaurant.",,,,,
4,Família i amics,Família i amics,4,ca_a1_04_004,"La meva mare estudia català.",,,,,
4,Família i amics,Família i amics,5,ca_a1_04_005,"A l'institut tinc nous amics.",,,,,
4,Família i amics,Família i amics,6,ca_a1_04_006,"Sortim al pati junts.",,,,,

5,Horaris i escola,Horaris i escola,1,ca_a1_05_001,"Entro a l'institut a les vuit i mitja.",,,,,
5,Horaris i escola,Horaris i escola,2,ca_a1_05_002,"Sortim a les dues.",,,,,
5,Horaris i escola,Horaris i escola,3,ca_a1_05_003,"Dilluns tinc matemàtiques i català.",,,,,
5,Horaris i escola,Horaris i escola,4,ca_a1_05_004,"Dimarts no hi ha classe a la tarda.",,,,,
5,Horaris i escola,Horaris i escola,5,ca_a1_05_005,"A l'hora del pati parlem i juguem.",,,,,
5,Horaris i escola,Horaris i escola,6,ca_a1_05_006,"Els caps de setmana no hi ha escola.",,,,,

6,Casa i barri,Casa i barri,1,ca_a1_06_001,"Visc en un pis al centre.",,,,,
6,Casa i barri,Casa i barri,2,ca_a1_06_002,"La meva habitació és petita.",,,,,
6,Casa i barri,Casa i barri,3,ca_a1_06_003,"Des de la finestra veig el mar.",,,,,
6,Casa i barri,Casa i barri,4,ca_a1_06_004,"Al barri hi ha un parc.",,,,,
6,Casa i barri,Casa i barri,5,ca_a1_06_005,"Vaig a l'institut a peu.",,,,,
6,Casa i barri,Casa i barri,6,ca_a1_06_006,"Al costat de casa hi ha una parada de bus.",,,,,

7,Rutina diària,Rutina diària,1,ca_a1_07_001,"Em llevo a les set.",,,,,
7,Rutina diària,Rutina diària,2,ca_a1_07_002,"Esmorzo amb la meva família.",,,,,
7,Rutina diària,Rutina diària,3,ca_a1_07_003,"Em dutxo abans d'anar a l'institut.",,,,,
7,Rutina diària,Rutina diària,4,ca_a1_07_004,"Dino al menjador escolar.",,,,,
7,Rutina diària,Rutina diària,5,ca_a1_07_005,"A la tarda faig els deures.",,,,,
7,Rutina diària,Rutina diària,6,ca_a1_07_006,"A la nit miro una sèrie en català.",,,,,

8,Menjar i beguda,Menjar i beguda,1,ca_a1_08_001,"Per esmorzar prenc llet i pa.",,,,,
8,Menjar i beguda,Menjar i beguda,2,ca_a1_08_002,"M'agrada la truita de patates.",,,,,
8,Menjar i beguda,Menjar i beguda,3,ca_a1_08_003,"No m'agrada el peix.",,,,,
8,Menjar i beguda,Menjar i beguda,4,ca_a1_08_004,"Per dinar mengem arròs i amanida.",,,,,
8,Menjar i beguda,Menjar i beguda,5,ca_a1_08_005,"Quan tinc set bec aigua.",,,,,
8,Menjar i beguda,Menjar i beguda,6,ca_a1_08_006,"A vegades anem a menjar pizza.",,,,,

9,Temps lliure,Temps lliure,1,ca_a1_09_001,"M'agrada escoltar música.",,,,,
9,Temps lliure,Temps lliure,2,ca_a1_09_002,"Els caps de setmana jugo a futbol.",,,,,
9,Temps lliure,Temps lliure,3,ca_a1_09_003,"De vegades vaig al cinema amb els amics.",,,,,
9,Temps lliure,Temps lliure,4,ca_a1_09_004,"A casa dibuixo i pinto.",,,,,
9,Temps lliure,Temps lliure,5,ca_a1_09_005,"M'encanta passejar per la platja.",,,,,
9,Temps lliure,Temps lliure,6,ca_a1_09_006,"No m'agrada quedar-me sol a casa.",,,,,

10,Temps i estacions,Temps i estacions,1,ca_a1_10_001,"Avui fa sol.",,,,,
10,Temps i estacions,Temps i estacions,2,ca_a1_10_002,"A l'hivern fa fred.",,,,,
10,Temps i estacions,Temps i estacions,3,ca_a1_10_003,"A l'estiu anem a la platja.",,,,,
10,Temps i estacions,Temps i estacions,4,ca_a1_10_004,"Quan plou porto paraigua.",,,,,
10,Temps i estacions,Temps i estacions,5,ca_a1_10_005,"A la tardor cauen les fulles.",,,,,
10,Temps i estacions,Temps i estacions,6,ca_a1_10_006,"A la primavera hi ha moltes flors.",,,,,
